Well,Sample ID,Range,ng/uL,% Total,nmole/L,Avg. Size,%CV
D1,E. coli Total RNA,1500 nt to 2200 nt,174.3462,24.9,330.1476,1647,8.77
D1,E. coli Total RNA,50 nt to 200 nt,180.5663,25.8,3918.0276,143,14.15
D1,E. coli Total RNA,50 nt to 6500 nt,696.8336,99.5,1323.9895,1642,72.49
D1,E. coli Total RNA,200 nt to 1500 nt,86.172,12.3,331.1669,811,53.29
D1,E. coli Total RNA,1500 nt to 2000 nt,166.5752,23.8,319.8523,1624,6.39
D1,E. coli Total RNA,50 nt to 4900 nt,692.2598,98.8,1336.8448,1615,71.06
D1,E. coli Total RNA,10000 nt to 25000 nt,NaN,NaN,NaN,NaN,NaN
D2,E. coli Total RNA,1500 nt to 2200 nt,77.5226,23.4,144.4163,1674,8.43
D2,E. coli Total RNA,50 nt to 200 nt,82.5341,24.9,1792.6838,143,13.49
D2,E. coli Total RNA,50 nt to 6500 nt,330.8926,99.8,593.6629,1739,70.83
D2,E. coli Total RNA,200 nt to 1500 nt,41.833,12.6,144.486,903,39.43
D2,E. coli Total RNA,1500 nt to 2000 nt,73.3715,22.1,138.6808,1650,6.04
D2,E. coli Total RNA,50 nt to 4900 nt,328.3177,99,599.4668,1708,69.49
D2,E. coli Total RNA,10000 nt to 25000 nt,NaN,NaN,NaN,NaN,NaN
D3,E. coli Total RNA,1500 nt to 2200 nt,37.2846,26.4,70.2072,1656,6.79
D3,E. coli Total RNA,50 nt to 200 nt,36.9837,26.2,818.4386,140,13.63
D3,E. coli Total RNA,50 nt to 6500 nt,141.3966,100,283.8894,1554,74.54
D3,E. coli Total RNA,200 nt to 1500 nt,23.0683,16.3,89.3525,805,47.47
D3,E. coli Total RNA,1500 nt to 2000 nt,36.479,25.8,69.0587,1648,5.76
D3,E. coli Total RNA,50 nt to 4900 nt,141.3966,100,283.8894,1554,74.54
D3,E. coli Total RNA,10000 nt to 25000 nt,NaN,NaN,NaN,NaN,NaN
D4,E. coli Total RNA,1500 nt to 2200 nt,21.0207,24.9,39.4254,1663,6.34
D4,E. coli Total RNA,50 nt to 200 nt,17.5324,20.8,383.3737,142,14.21
D4,E. coli Total RNA,50 nt to 6500 nt,83.7327,99.3,149.2059,1750,69.3
D4,E. coli Total RNA,200 nt to 1500 nt,13.6813,16.2,52.8971,806,46.73
D4,E. coli Total RNA,1500 nt to 2000 nt,20.597,24.4,38.8548,1653,5.06
D4,E. coli Total RNA,50 nt to 4900 nt,83.2112,98.7,150.4202,1726,68.12
D4,E. coli Total RNA,10000 nt to 25000 nt,NaN,NaN,NaN,NaN,NaN
D5,E. coli Total RNA,1500 nt to 2200 nt,10.1889,23,19.0371,1669,6.95
D5,E. coli Total RNA,50 nt to 200 nt,8.3733,18.9,185.1981,141,15.55
D5,E. coli Total RNA,50 nt to 6500 nt,44.0665,99.5,72.7039,1891,66.36
D5,E. coli Total RNA,200 nt to 1500 nt,6.3736,14.4,24.5928,808,47.17
D5,E. coli Total RNA,1500 nt to 2000 nt,9.8795,22.3,18.621,1655,5.15
D5,E. coli Total RNA,50 nt to 4900 nt,43.6075,98.5,73.5069,1850,64.74
D5,E. coli Total RNA,10000 nt to 25000 nt,NaN,NaN,NaN,NaN,NaN
D6,E. coli Total RNA,1500 nt to 2200 nt,4.5786,23.8,8.4459,1691,7.66
D6,E. coli Total RNA,50 nt to 200 nt,4.2501,22.1,95.0591,139,18.01
D6,E. coli Total RNA,50 nt to 6500 nt,19.3687,100.6,33.9498,1780,69.48
D6,E. coli Total RNA,200 nt to 1500 nt,3.0233,15.7,11.6943,806,47.05
D6,E. coli Total RNA,1500 nt to 2000 nt,4.3572,22.6,8.1383,1670,5.47
D6,E. coli Total RNA,50 nt to 4900 nt,19.2977,100.2,34.0706,1767,69.07
D6,E. coli Total RNA,10000 nt to 25000 nt,NaN,NaN,NaN,NaN,NaN
D7,E. coli Total RNA,1500 nt to 2200 nt,2.4493,22.6,4.4774,1706,8.25
D7,E. coli Total RNA,50 nt to 200 nt,2.4677,22.8,56.1424,137,21.5
D7,E. coli Total RNA,50 nt to 6500 nt,10.9488,101.1,18.9142,1806,71.02
D7,E. coli Total RNA,200 nt to 1500 nt,1.6686,15.4,6.4551,806,46.99
D7,E. coli Total RNA,1500 nt to 2000 nt,2.2962,21.2,4.2636,1680,5.86
D7,E. coli Total RNA,50 nt to 4900 nt,10.882,100.5,19.026,1784,70.4
D7,E. coli Total RNA,10000 nt to 25000 nt,NaN,NaN,NaN,NaN,NaN
